,Ranking,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recoverd,Active Cases,Serious Cases
140,140,Sao Tome and Principe,707,,12 ,,208,487,
141,141,San Marino,698,,42 ,,647,9,
142,142,Eswatini,674,,7 ,,319,348,5
143,143,Jamaica,670,+5,10 ,,518,142,
144,144,Malta,665,,9 ,,624,32,
145,145,Liberia,652,,34 ,,270,348,
146,146,Libya,639,,17 ,,132,490,
147,147,Togo,576,,13  ,,384,179,2
148,148,Channel Islands,570,,47 ,,512,11,
149,149,Zimbabwe,525,,6 ,,64,455,
150,150,Tanzania,509,,21 ,,183,305,7
151,151,Réunion,507,,1 ,,460,46,2
152,152,Taiwan,446,,7 ,,435,4,
153,153,Montenegro,383,+5,9 ,,315,59,
154,154,Vietnam,352,+3, ,,329,23,1
155,155,Mauritius,341,+1,10 ,,326,5,
156,156,Isle of Man,336,,24 ,,312,0,
157,157,Suriname,319,,9 ,,132,178,2
158,158,Myanmar,293,+1,6 ,,208,79,
159,159,Comoros,265,,7 ,,159,99,
160,160,Martinique,236,,14 ,,98,124,
161,161,Syria,231,,7 ,,94,130,
162,162,Mongolia,215,, ,,168,47,6
163,163,Guyana,206,,12 ,,107,87,1
164,164,Cayman Islands,195,,1 ,,154,40,
165,165,Angola,189,,10 ,,77,102,1
166,166,Faeroe Islands,187,, ,,187,0,
167,167,Gibraltar,176,, ,,176,0,
168,168,Guadeloupe,174,,14 ,,157,3,
169,169,Bermuda,146,,9 ,,132,5,2
170,170,Burundi,144,,1 ,,93,50,
171,171,Eritrea,143,, ,,39,104,
172,172,Brunei ,141,,3 ,,138,0,
173,173,Cambodia,130,, ,,127,3,1
174,174,Trinidad and Tobago,123,,8 ,,109,6,
175,175,Bahamas,104,,11 ,,83,10,1
176,176,Monaco,101,,4 ,,95,2,
177,177,Aruba,101,,3 ,,98,0,
178,178,Barbados,97,,7 ,,85,5,1
179,179,Botswana,89,,1 ,,25,63,1
180,180,Liechtenstein,82,,1 ,,55,26,
181,181,Sint Maarten,77,,15 ,,62,0,
182,182,Namibia,76,+4, ,,21,55,1
183,183,Bhutan,70,+1, ,,34,36,
184,184,French Polynesia,60,, ,,60,0,
185,185,Macao,45,, ,,45,0,
186,186,Saint Martin,42,,3 ,,36,3,1
187,187,Gambia,42,+1,2 ,,26,14,
188,188,St. Vincent Grenadines,29,, ,,27,2,
189,189,Antigua and Barbuda,26,,3 ,,22,1,1
190,190,Timor-Leste,24,, ,,24,0,
191,191,Belize,23,,2 ,,17,4,
192,192,Curaçao,23,,1 ,,19,3,
193,193,Grenada,23,, ,,23,0,
194,194,New Caledonia,21,, ,,21,0,
195,195,Laos,19,, ,,19,0,
196,196,Saint Lucia,19,, ,,18,1,
197,197,Dominica,18,, ,,18,0,
198,198,Fiji,18,, ,,18,0,
199,199,Lesotho,17,, ,,2,15,
200,200,Saint Kitts and Nevis,15,, ,,15,0,
201,201,Turks and Caicos,14,,1 ,,11,2,
202,202,Falkland Islands,13,, ,,13,0,
203,203,Greenland,13,, ,,13,0,
204,204,Vatican City,12,, ,,12,0,
205,205,Montserrat,11,,1 ,,10,0,
206,206,Seychelles,11,, ,,11,0,
207,207,Western Sahara,10,,1 ,,8,1,
208,208,MS Zaandam,9,,2 ,,,7,
209,209,Papua New Guinea,9,, ,,8,1,
210,210,British Virgin Islands,8,,1 ,,7,0,
211,211,Caribbean Netherlands,7,, ,,7,0,
212,212,St. Barth,6,, ,,6,0,
213,213,Anguilla,3,, ,,3,0,
214,214,Saint Pierre Miquelon,1,, ,,1,0,
215,215,China,"83,430",+12,"4,634 ",,"78,428",368,10
216,,Total:,"2,835,151","+22,284","158,246","+1,106","1,275,687","1,401,218","19,421"
217,,Total:,"1,872,088","+1,496","74,408",+50,"1,052,254","745,426","12,531"
218,,Total:,"2,353,893","+11,623","189,020",+407,"1,299,046","865,827","6,141"
219,,Total:,"2,021,944","+39,405","50,918",+872,"1,298,596","672,430","19,422"
220,,Total:,"328,810","+1,346","8,675",+22,"157,566","162,569",502
221,,Total:,"9,145",+30,125,+1,"8,505",515,3
222,,Total:,721,,15,,651,55,4
223,,Total:,"9,421,752","+76,184","481,407","+2,458","5,092,305","3,848,040","58,024"
